Feature,Mean_Class0,Mean_Class1,Median_Class0,Median_Class1,Std_Class0,Std_Class1,CohenD,AbsCohenD,T_pvalue,U_pvalue,ROC_AUC,N_Class0,N_Class1,T_pvalue_FDR,U_pvalue_FDR,Significant_T,Significant_U
mfcc_18_min,-33.949044250860446,-30.50085748525766,-33.469879150390625,-30.596738815307617,6.15084575855441,5.5919432148783255,0.5748373587921768,0.5748373587921768,0.00011636823205292021,0.0001501557675906687,0.6607879924953095,164,65,0.010493505420006122,0.015270898511181496,True,True
mfcc_17_p10,-9.643264934784028,-8.306472088740422,-9.795008182525635,-8.147330284118652,2.382611867044016,2.2283187639334163,0.5712446420549234,0.5712446420549234,0.0001279695782927576,0.00027934570447283224,0.6541275797373358,164,65,0.010493505420006122,0.015270898511181496,True,True
mfcc_17_mean,-0.763538359959678,0.39106201535234086,-0.889098584651947,-0.05774260684847832,2.104654225602181,2.0205508858055867,0.5547532629458622,0.5547532629458622,0.00019677966022108425,0.0005467292713721667,0.646622889305816,164,65,0.010757288092085938,0.017932720101007067,True,True
mfcc_17_median,-0.6931387006146151,0.39612888235312244,-0.7456961572170258,0.17373527586460114,2.0338515001007313,1.9877147936764654,0.5389877830521426,0.5389877830521426,0.00029420322778218584,0.0009756212730410084,0.6398686679174485,164,65,0.01206233233906962,0.01984199817878753,True,True
mfcc_18_p90,4.857461784670993,6.136819835809561,4.334921598434448,6.253951072692871,2.3341485770329133,2.7562462316716982,0.5199596676978774,0.5199596676978774,0.00047231624943704255,0.0007093050084015565,0.6436210131332084,164,65,0.01367349409416765,0.019387670229642544,True,True
mfcc_18_mean,-3.495426608090539,-2.1966640852964843,-3.7820684909820557,-1.8702964782714844,2.3722953544333008,2.8279050057626285,0.5176131385308723,0.5176131385308723,0.0005002497839329628,0.0004409617128919739,0.64906191369606,164,65,0.01367349409416765,0.017932720101007067,True,True
mfcc_15_max,35.810466824508296,38.583980237520656,35.46334457397461,38.16941833496094,5.137509419516033,6.433524989731906,0.5012026590797581,0.5012026590797581,0.0007434339090779529,0.003086600634070135,0.6255159474671671,164,65,0.017417594441254895,0.03615732171339301,True,True
mfcc_18_median,-3.28062009516104,-2.0855245865308323,-3.4591792821884155,-1.7160589694976807,2.2805910482434655,2.7202816502713123,0.49533911687855475,0.49533911687855475,0.0008544183615598687,0.0010068168991186086,0.6394934333958724,164,65,0.017515576411977308,0.01984199817878753,True,True
mfcc_17_p90,8.029209150773722,9.091206418550932,8.02466869354248,8.7836332321167,2.1935840506827384,2.1209699333966228,0.48864374103506364,0.48864374103506364,0.000999985795199827,0.001902840143353141,0.6317073170731707,164,65,0.018201342861533337,0.026005481959159592,True,True
mfcc_18_p10,-12.101537352654992,-10.675469578229464,-12.245100975036621,-10.352836608886719,2.789850541843739,3.3086882080620676,0.4841683226683613,0.4841683226683613,0.001109837979361789,0.000267601362329428,0.6545966228893059,164,65,0.018201342861533337,0.015270898511181496,True,True
mfcc_19_median,-3.550042987596698,-2.5441397600449047,-3.8145551681518555,-2.7569265365600586,2.2248307063885657,2.480076620294713,0.43741316054028256,0.43741316054028256,0.0031525271960206047,0.0010888901439578523,0.6385553470919325,164,65,0.04700131455885265,0.01984199817878753,True,True
mfcc_01_std,101.3980517038485,97.01981623722956,100.6418228149414,96.05229949951172,10.2328451029232,10.033429934929973,-0.43020809485725986,0.43020809485725986,0.0036757144148069046,0.0017000215321681118,0.36688555347091933,164,65,0.04888927684970338,0.025345775570506393,True,True
mfcc_19_mean,-3.6496619137867197,-2.66841259028476,-3.8429369926452637,-2.8675711154937744,2.321196010879649,2.514330793391775,0.4127688345096356,0.4127688345096356,0.00528679522798397,0.0012331714910530573,0.6370544090056285,164,65,0.056200453149346706,0.020224012453270136,False,True
zcr_std,0.03822237323285935,0.03592450893466239,0.037865520817171136,0.035390849725863226,0.005703654225165237,0.0054954559104344524,-0.40700907287407273,0.40700907287407273,0.00594593276695659,0.00355993355028077,0.376360225140713,164,65,0.056200453149346706,0.03892194014973642,False,True
mfcc_19_p10,-12.213402534403452,-11.11717740205618,-12.303436756134033,-10.87757682800293,2.879189566946763,3.1385547179471662,0.3710206703249531,0.3710206703249531,0.012037861636521919,0.0030425723469888295,0.625703564727955,164,65,0.06696748433660987,0.03615732171339301,False,True
