Feature,Mean_Class0,Mean_Class1,Median_Class0,Median_Class1,Std_Class0,Std_Class1,CohenD,AbsCohenD,T_pvalue,U_pvalue,ROC_AUC,N_Class0,N_Class1,T_pvalue_FDR,U_pvalue_FDR,Significant_T,Significant_U
mfcc_18_min,-33.949044250860446,-30.50085748525766,-33.469879150390625,-30.596738815307617,6.15084575855441,5.5919432148783255,0.5748373587921768,0.5748373587921768,0.00011636823205292021,0.0001501557675906687,0.6607879924953095,164,65,0.010493505420006122,0.015270898511181496,True,True
mfcc_18_p10,-12.101537352654992,-10.675469578229464,-12.245100975036621,-10.352836608886719,2.789850541843739,3.3086882080620676,0.4841683226683613,0.4841683226683613,0.001109837979361789,0.000267601362329428,0.6545966228893059,164,65,0.018201342861533337,0.015270898511181496,True,True
mfcc_17_p10,-9.643264934784028,-8.306472088740422,-9.795008182525635,-8.147330284118652,2.382611867044016,2.2283187639334163,0.5712446420549234,0.5712446420549234,0.0001279695782927576,0.00027934570447283224,0.6541275797373358,164,65,0.010493505420006122,0.015270898511181496,True,True
mfcc_18_mean,-3.495426608090539,-2.1966640852964843,-3.7820684909820557,-1.8702964782714844,2.3722953544333008,2.8279050057626285,0.5176131385308723,0.5176131385308723,0.0005002497839329628,0.0004409617128919739,0.64906191369606,164,65,0.01367349409416765,0.017932720101007067,True,True
mfcc_17_mean,-0.763538359959678,0.39106201535234086,-0.889098584651947,-0.05774260684847832,2.104654225602181,2.0205508858055867,0.5547532629458622,0.5547532629458622,0.00019677966022108425,0.0005467292713721667,0.646622889305816,164,65,0.010757288092085938,0.017932720101007067,True,True
mfcc_18_p90,4.857461784670993,6.136819835809561,4.334921598434448,6.253951072692871,2.3341485770329133,2.7562462316716982,0.5199596676978774,0.5199596676978774,0.00047231624943704255,0.0007093050084015565,0.6436210131332084,164,65,0.01367349409416765,0.019387670229642544,True,True
mfcc_17_median,-0.6931387006146151,0.39612888235312244,-0.7456961572170258,0.17373527586460114,2.0338515001007313,1.9877147936764654,0.5389877830521426,0.5389877830521426,0.00029420322778218584,0.0009756212730410084,0.6398686679174485,164,65,0.01206233233906962,0.01984199817878753,True,True
mfcc_18_median,-3.28062009516104,-2.0855245865308323,-3.4591792821884155,-1.7160589694976807,2.2805910482434655,2.7202816502713123,0.49533911687855475,0.49533911687855475,0.0008544183615598687,0.0010068168991186086,0.6394934333958724,164,65,0.017515576411977308,0.01984199817878753,True,True
mfcc_19_median,-3.550042987596698,-2.5441397600449047,-3.8145551681518555,-2.7569265365600586,2.2248307063885657,2.480076620294713,0.43741316054028256,0.43741316054028256,0.0031525271960206047,0.0010888901439578523,0.6385553470919325,164,65,0.04700131455885265,0.01984199817878753,True,True
mfcc_19_mean,-3.6496619137867197,-2.66841259028476,-3.8429369926452637,-2.8675711154937744,2.321196010879649,2.514330793391775,0.4127688345096356,0.4127688345096356,0.00528679522798397,0.0012331714910530573,0.6370544090056285,164,65,0.056200453149346706,0.020224012453270136,False,True
mfcc_17_p90,8.029209150773722,9.091206418550932,8.02466869354248,8.7836332321167,2.1935840506827384,2.1209699333966228,0.48864374103506364,0.48864374103506364,0.000999985795199827,0.001902840143353141,0.6317073170731707,164,65,0.018201342861533337,0.026005481959159592,True,True
mfcc_19_p10,-12.213402534403452,-11.11717740205618,-12.303436756134033,-10.87757682800293,2.879189566946763,3.1385547179471662,0.3710206703249531,0.3710206703249531,0.012037861636521919,0.0030425723469888295,0.625703564727955,164,65,0.06696748433660987,0.03615732171339301,False,True
mfcc_15_max,35.810466824508296,38.583980237520656,35.46334457397461,38.16941833496094,5.137509419516033,6.433524989731906,0.5012026590797581,0.5012026590797581,0.0007434339090779529,0.003086600634070135,0.6255159474671671,164,65,0.017417594441254895,0.03615732171339301,True,True
mfcc_11_min,-42.68098603225336,-38.657929552518404,-42.026018142700195,-37.655128479003906,11.195522025414482,9.716979402013981,0.3725336986492992,0.3725336986492992,0.011697845579796848,0.005080194213883578,0.6188555347091934,164,65,0.06696748433660987,0.052071990692306676,False,False
mfcc_19_p90,4.777906092701525,5.62383973965278,4.583616495132446,5.4496750831604,2.2158745702591447,2.3279412686393344,0.3762989697812201,0.3762989697812201,0.01088863284035908,0.006269893634888245,0.6159474671669795,164,65,0.06696748433660987,0.05634035013024002,False,False
mfcc_17_min,-30.866369538190888,-28.608149220393255,-30.81903648376465,-28.41655921936035,5.486560872529332,4.991515373863334,0.4219690073711482,0.4219690073711482,0.004370634666677927,0.006397400422521122,0.6156660412757974,164,65,0.051198863238227144,0.05634035013024002,False,False
mean_event_duration_sec,0.8943331608223763,1.0401964970412234,0.818321309879457,0.9801338688085677,0.3694894014306737,0.42733019592981614,0.37722586362093263,0.37722586362093263,0.010697274412761866,0.010312051904789041,0.6088180112570357,164,65,0.06696748433660987,0.07713963579736337,False,False
mfcc_19_min,-35.634857526639614,-32.653865403395436,-34.52865791320801,-31.366653442382812,7.394171600922722,7.261159188258425,0.4051960141587787,0.4051960141587787,0.006168342418830736,0.011926805363760258,0.6066604127579738,164,65,0.056200453149346706,0.07713963579736337,False,False
mfcc_10_min,-39.42096114740139,-34.56537331801194,-37.02120399475098,-34.803932189941406,12.339410077635238,10.428979821189298,0.41037580720134276,0.41037580720134276,0.005552133532115002,0.012001838434860973,0.6065666041275798,164,65,0.056200453149346706,0.07713963579736337,False,False
mfcc_15_mean,3.736648150958212,4.786934025270434,4.2008562088012695,5.219972133636475,2.9564340071045447,2.879829716675806,0.3578439594118317,0.3578439594118317,0.015392094416474647,0.01401876303502285,0.6042213883677299,164,65,0.07888448388443256,0.07837585706553753,False,False
mfcc_15_median,3.6216864978394856,4.62509026664954,4.065054178237915,4.983361721038818,2.856856839302183,2.8049993351289886,0.353021311693331,0.353021311693331,0.016812813862611787,0.014814948591656486,0.6033771106941839,164,65,0.08109710216083332,0.07837585706553753,False,False
mfcc_03_p10,-75.239397502527,-68.39083674504207,-75.55807495117188,-67.95140075683594,21.056648472259667,19.610568818397432,0.33150187209750587,0.33150187209750587,0.02465912042399092,0.02024205455629227,0.5984990619136961,164,65,0.09493330033821903,0.09078341319779039,False,False
mfcc_20_median,-3.289108340105996,-2.360982399376539,-3.3701807260513306,-2.3642024993896484,2.5337557492525478,2.785471712424105,0.35598771754530034,0.35598771754530034,0.015925827251529537,0.020481623709257588,0.5983114446529082,164,65,0.07914653543184376,0.09078341319779039,False,False
mfcc_16_mean,-0.33667104478312154,0.714852881947389,0.14671826362609863,0.6205846667289734,2.727724121595047,2.5295157619757886,0.39333868059497235,0.39333868059497235,0.007818498816917617,0.021716920915600697,0.5973733583489681,164,65,0.063807404269083,0.09372565868838195,False,False
mfcc_16_median,0.03764431033192611,1.0247427658965955,0.5547927618026733,1.311253309249878,2.631161269420825,2.4621679194938033,0.38191030035521417,0.38191030035521417,0.00977546405068623,0.023150168291092694,0.5963414634146342,164,65,0.06679900434635591,0.09491568999348003,False,False
mfcc_15_p10,-6.01099223479992,-4.955831557741532,-5.344349145889282,-4.389164447784424,3.2609318852537412,2.994816786341664,0.33096298868000207,0.33096298868000207,0.02489104825941109,0.023966030221957948,0.5957786116322703,164,65,0.09493330033821903,0.09586412088783179,False,False
mfcc_10_p10,-4.665539296343923,-3.1696988298342776,-4.3354034423828125,-1.9377936124801636,5.470064597386002,6.090148466641951,0.26466710798104726,0.26466710798104726,0.07228002009908313,0.025526673406176065,0.5947467166979362,164,65,0.1852175515039005,0.09967558187173511,False,False
mfcc_11_p10,-7.150935540112053,-5.722742450008026,-6.474107265472412,-4.958280086517334,5.046884596344661,4.719508680704676,0.28812955962253345,0.28812955962253345,0.05053586358600206,0.02795333094528155,0.5932457786116323,164,65,0.14047256996787014,0.10541958877182427,False,False
mfcc_15_p90,13.705086779303667,14.781483958317683,14.11909532546997,15.220427513122559,3.1374268209513856,3.1844981616237504,0.3416299651288538,0.3416299651288538,0.02063760382061506,0.029568909045755588,0.5923076923076923,164,65,0.09147478450218567,0.10541958877182427,False,False
mfcc_16_p10,-10.383657404562323,-9.179124956864577,-10.081415176391602,-9.243108749389648,3.3603083802506997,2.9406141668975065,0.3709134746946115,0.3709134746946115,0.012062282465911137,0.03178871720680413,0.5910881801125705,164,65,0.06696748433660987,0.10861145045658077,False,False
mfcc_10_mean,8.818760699615247,10.399285826316246,9.000540733337402,10.468070983886719,4.860075467334294,5.315406148429816,0.31657001100589127,0.31657001100589127,0.031829240318874165,0.03178871720680413,0.5910881801125705,164,65,0.1110637321764971,0.10861145045658077,False,False
mfcc_16_p90,9.233082271203763,10.183796420464148,9.426875114440918,10.178770065307617,2.754384401910031,2.6424031077810723,0.34910644255793577,0.34910644255793577,0.01805007583138871,0.033777170432166444,0.5900562851782364,164,65,0.0822281232318819,0.11041892364190864,False,False
mfcc_10_p90,22.3381092257616,24.182859244713416,21.928030967712402,23.8297119140625,5.462724561520904,5.756904777252577,0.33255248915880997,0.33255248915880997,0.024212363282910574,0.03606676214823035,0.5889305816135084,164,65,0.09493330033821903,0.11374901908288032,False,False
mfcc_20_mean,-3.2238611814724965,-2.352340965775343,-3.250157117843628,-2.6393115520477295,2.598320151853252,2.8128785150377182,0.32756967179884655,0.32756967179884655,0.02639562962221298,0.039113659370403564,0.5875234521575984,164,65,0.09838371041006655,0.11878963216196639,False,False
mfcc_10_median,8.822099960840694,10.258363327613244,8.686408519744873,10.405924797058105,4.523836000291789,5.003478465936698,0.3079426491998966,0.3079426491998966,0.036742244194206616,0.04237643219587639,0.5861163227016887,164,65,0.11587938553557471,0.1263588160022496,False,False
mfcc_11_max,47.913468291119834,50.42745132446289,47.66036605834961,50.4449348449707,8.870662304025789,7.730966547387632,0.2935283138048527,0.2935283138048527,0.046401466834310956,0.049339397342993016,0.5833958724202626,164,65,0.13793069109380854,0.13697172746484915,False,False
mfcc_20_p10,-11.045735792415899,-10.16891595033499,-11.271202087402344,-10.294116020202637,2.7763228574649617,2.9752099414689037,0.309413766153236,0.309413766153236,0.03586114287039083,0.05275917490374221,0.5821763602251406,164,65,0.1153181849165509,0.13728819654350946,False,False
mfcc_11_mean,6.445751137594216,7.318210024558581,7.015178680419922,7.2473554611206055,3.9453417245083515,3.6127042688167488,0.22635016923445067,0.22635016923445067,0.12389997683500191,0.09507853385280246,0.5708255159474672,164,65,0.2745891378505448,0.21360108975150144,False,False
mfcc_08_min,-46.25539094645803,-43.48633299607497,-45.80552673339844,-43.39596176147461,11.906298272756512,9.284596243425886,0.24659286448280765,0.24659286448280765,0.09385717347006448,0.12334564431189607,0.5653846153846154,164,65,0.22308081810276192,0.2560593122424171,False,False
mfcc_18_max,23.84087762600038,24.971792103694035,23.24123477935791,24.820999145507812,5.430631440093757,5.461306787601194,0.20791553984569563,0.20791553984569563,0.15739869996332334,0.12334564431189607,0.5653846153846154,164,65,0.3186837875800621,0.2560593122424171,False,False
mfcc_20_p90,4.677987890000024,5.503527553264911,4.730636119842529,5.290768623352051,2.7453824541583747,3.0650717842891453,0.2907688541513037,0.2907688541513037,0.04847740081625672,0.1271605572583118,0.5647279549718575,164,65,0.1394788374362474,0.26067914237953915,False,False
duration_sec,128.3481151484984,137.39915646258504,131.80802721088435,133.63201814058957,33.1651789194533,28.002644414627742,0.284672036629195,0.284672036629195,0.0533435975041637,0.13477394029804937,0.5634615384615385,164,65,0.14580583317804746,0.26954788059609874,False,False
mfcc_10_max,56.009098169280264,58.534861403245195,55.51028633117676,58.55890655517578,11.712263506024994,11.425454390311623,0.21713702327402426,0.21713702327402426,0.13986642173675023,0.14153814616428378,0.5623827392120075,164,65,0.30181701532667154,0.27966573458966915,False,False
mfcc_17_max,27.848566625176407,28.60053085914025,26.84330940246582,28.25539779663086,4.515016864091229,4.602923665054478,0.1656318567701608,0.1656318567701608,0.2596400544373801,0.15908897040581516,0.5597560975609757,164,65,0.45393040226685344,0.3033789668203917,False,False
mfcc_16_max,27.67346105342958,28.777840951772838,26.855974197387695,27.999164581298828,5.139101218457733,5.154306021031555,0.21471818067809056,0.21471818067809056,0.1443118541132175,0.16238933927133803,0.5592870544090057,164,65,0.30722871564055426,0.30611323724712,False,False
mfcc_11_p90,19.55395235084906,20.30619279421293,19.429226875305176,20.238739013671875,4.259112190393412,3.634115278171806,0.1838061675972742,0.1838061675972742,0.2111073109922521,0.17895327423664498,0.5570356472795497,164,65,0.39350218614065624,0.32975659522258177,False,False
mfcc_11_median,6.8544263567139465,7.419655305834917,7.4936628341674805,7.846565246582031,3.6532849788895123,3.4384335707561946,0.15726969948428643,0.15726969948428643,0.2844036032817694,0.184744876391019,0.5562851782363978,164,65,0.4759407238592876,0.3366462192014124,False,False
mfcc_03_min,-162.20563232607958,-158.6134495661809,-162.2940216064453,-158.92840576171875,16.794048448230104,17.214131758977924,0.21238500579446265,0.21238500579446265,0.14870237845319412,0.2006057807150542,0.5543151969981238,164,65,0.30869860843447894,0.3435882527657499,False,False
mfcc_01_p10,-481.4836377399724,-477.67517841045674,-485.41270446777344,-472.1869812011719,28.75631914977885,28.189831371761787,0.13317343504816795,0.13317343504816795,0.36451861479570113,0.2021666580618121,0.5541275797373358,164,65,0.5803985711310192,0.3435882527657499,False,False
mfcc_02_p10,64.94631680046639,67.77411722036508,63.910757064819336,68.9916763305664,16.979947400423217,14.194843146113145,0.17409207674424565,0.17409207674424565,0.23615726639222487,0.20373636863903366,0.5539399624765479,164,65,0.42560210646510854,0.3435882527657499,False,False
mfcc_03_mean,-9.045183690264821,-5.398070804430888,-9.290524005889893,-6.840161323547363,15.523858768232316,16.492139222615762,0.23078814184272645,0.23078814184272645,0.1167380203633027,0.20452454236217354,0.5538461538461539,164,65,0.2659032686053006,0.3435882527657499,False,False
mfcc_15_min,-29.581160173183534,-28.91852971590482,-29.55339527130127,-27.680191040039062,6.14396408356075,6.43342723323405,0.10641354674897525,0.10641354674897525,0.46856499656380945,0.23789159463432363,0.550093808630394,164,65,0.6740759599689891,0.39408304565685937,False,False
mfcc_09_min,-37.48693562716973,-35.66697161747859,-36.96893119812012,-35.86499786376953,9.04611378741002,7.57138846181949,0.2102594108353793,0.2102594108353793,0.15279100239774937,0.2578017612338859,0.548030018761726,164,65,0.31322155491538617,0.4186088004193791,False,False
mfcc_14_p90,9.587663220196236,10.088781611736005,9.895262718200684,9.873285293579102,3.1621239160515175,3.199413708841306,0.1579478934386769,0.1579478934386769,0.28233719426264137,0.3297947846039676,0.5413696060037523,164,65,0.4759407238592876,0.520061006490872,False,False
mfcc_20_min,-31.892996846175777,-30.963362150925857,-31.26451301574707,-30.22083282470703,6.322275407944179,6.469500955420592,0.14607415079803776,0.14607415079803776,0.32000501612393634,0.3420148126357432,0.5403377110694184,164,65,0.519612105389362,0.5291549931345461,False,False
mfcc_03_median,-0.1834994539981935,3.4579014386122044,1.4821236729621887,2.5960798263549805,18.07486217500644,19.01100445522446,0.19851034184236485,0.19851034184236485,0.1769583361258264,0.3420148126357432,0.5403377110694183,164,65,0.34549008481708965,0.5291549931345461,False,False
mfcc_02_min,9.189844788574591,11.277498767926144,11.455485820770264,13.912592887878418,16.24086947359331,13.214353868042316,0.13514320140768343,0.13514320140768343,0.3574807832518542,0.3803860548489867,0.5372420262664166,164,65,0.5747730240520008,0.5830216167778861,False,False
mfcc_14_p10,-12.183112708533683,-11.817797763531024,-12.241133689880371,-11.589982032775879,3.3221280597912366,3.1614730801253526,0.11145702637440837,0.11145702637440837,0.447777232967694,0.38885320253826106,0.5365853658536586,164,65,0.662779840511173,0.5850635340942644,False,False
mfcc_14_mean,-1.0334645203064854,-0.6408959503357227,-0.94045490026474,-0.4387684464454651,3.020546273666204,2.9037237993087013,0.13137855542520016,0.13137855542520016,0.37100694303730697,0.4341820144175329,0.5332082551594748,164,65,0.5850494101742149,0.6357665211113874,False,False
mfcc_01_min,-535.1990719306759,-532.397705078125,-531.3716430664062,-527.7424926757812,25.005106467264138,23.086950722098905,0.11443714640219077,0.11443714640219077,0.4357461969947488,0.43940040490532284,0.5328330206378987,164,65,0.662779840511173,0.6377138619864863,False,False
rms_max,0.3237974630532468,0.3334814945092568,0.30575893819332123,0.33372554183006287,0.09851525658383188,0.09572275868567459,0.09908354509648389,0.09908354509648389,0.49971328202280774,0.4673807211488401,0.5308630393996248,164,65,0.6962713363773568,0.6607796402449119,False,False
mfcc_14_median,-0.637986059005304,-0.30661785017985566,-0.31317614018917084,-0.027170896530151367,2.9717820753524697,2.8462112902194217,0.11282838522714093,0.11282838522714093,0.442217470840759,0.5392688394689078,0.5260787992495309,164,65,0.662779840511173,0.738740958874052,False,False
mfcc_16_min,-34.92435557667802,-34.38734623835637,-33.999107360839844,-34.05492401123047,5.726842155517878,5.867063808091069,0.09312212671160894,0.09312212671160894,0.5258394280622232,0.5436637420944919,0.525797373358349,164,65,0.7197896081963998,0.738740958874052,False,False
mfcc_05_min,-73.734843230829,-72.55195177518405,-72.96415328979492,-71.99694061279297,12.675046465030709,9.585472696518854,0.09952347559852416,0.09952347559852416,0.4978131261384734,0.5495512011136241,0.525422138836773,164,65,0.6962713363773568,0.738740958874052,False,False
mfcc_14_min,-40.69498962309302,-39.81881376413199,-39.789756774902344,-39.917945861816406,7.19442153601214,6.4915118393308795,0.1251074048571758,0.1251074048571758,0.39423794636868825,0.6366909098482489,0.5200750469043152,164,65,0.6157621257568083,0.826265471909526,False,False
silence_percent,17.59482176244067,18.948495568663198,15.019442258536772,15.680361854504335,11.798918241088652,13.40069739397257,0.11030855437035582,0.11030855437035582,0.4524639776439181,0.6493740634736735,0.5193245778611632,164,65,0.662779840511173,0.8320105188256443,False,False
mfcc_07_std,14.764534769988641,14.860958539522612,14.691600322723389,14.722512245178223,1.5813867654727358,1.5339755790010454,0.06148828695309337,0.06148828695309337,0.6752324798415179,0.7241895253305228,0.5150093808630394,164,65,0.8559591100118266,0.9135929396477365,False,False
mfcc_07_p90,22.34002276455484,22.44847767169659,22.408132553100586,22.885128021240234,6.71938796888297,5.267514068614492,0.01709627518095223,0.01709627518095223,0.9072453087947435,0.7425112381441464,0.5139774859287054,164,65,0.9599240686602448,0.9225139625427274,False,False
mfcc_13_min,-39.6342375685529,-39.193071893545294,-39.7702579498291,-38.84519577026367,7.835609093981347,6.523449032690239,0.05890873016968362,0.05890873016968362,0.6881204480402484,0.7559290465066703,0.5132270168855535,164,65,0.8614637670122195,0.9272260821819551,False,False
mfcc_02_mean,118.9586751984387,120.42717426006611,119.69770050048828,118.31031036376953,15.457477957258332,13.235160971358695,0.0987917559407902,0.0987917559407902,0.5009757176373665,0.7576115549535487,0.5131332082551595,164,65,0.6962713363773568,0.9272260821819551,False,False
zcr_mean,0.0722235275096277,0.07331987315403894,0.07217463450715302,0.07162679177108539,0.012248810224095318,0.014118629451878147,0.08562755504620596,0.08562755504620596,0.5596542556073318,0.7643530055227383,0.5127579737335834,164,65,0.7462056741431091,0.9285473548572525,False,False
mfcc_09_median,8.608163411660891,8.889353975882898,8.567042827606201,7.841802597045898,4.706413197542491,4.356721228741111,0.060989074007004804,0.060989074007004804,0.6777193219293804,0.8120172263317927,0.5101313320825517,164,65,0.8559591100118266,0.9606102675940758,False,False
mfcc_08_p10,-11.81834281444913,-11.519438399030612,-11.840590476989746,-10.770735740661621,6.795647127618391,5.419414743829444,0.046431857461443356,0.046431857461443356,0.7516910805595707,0.8430429421399189,0.5084427767354596,164,65,0.9131654608279229,0.9606102675940758,False,False
mfcc_19_max,26.244160221844183,26.069035838200495,25.808547019958496,26.403682708740234,6.180452229471519,4.783784228241174,-0.030086478342507845,0.030086478342507845,0.8375426503502358,0.8499725673797351,0.5080675422138837,164,65,0.9347046957795055,0.9606102675940758,False,False
mfcc_09_p10,-5.923826570350041,-5.604602851546728,-5.972468137741089,-5.9209089279174805,5.201392551483282,4.6579825325084485,0.0631613115861263,0.0631613115861263,0.6669243847073107,0.8517068080501802,0.5079737335834897,164,65,0.8559591100118266,0.9606102675940758,False,False
spectral_bandwidth_mean,1329.1592810957466,1343.2192843782102,1319.626761229668,1305.287145953676,152.88405095524791,181.2175961004997,0.08712535784615237,0.08712535784615237,0.5528122233590689,0.8551774333459454,0.5077861163227018,164,65,0.743124628122027,0.9606102675940758,False,False
mfcc_12_min,-41.318053222284085,-40.940790000328654,-40.39200973510742,-40.42462158203125,9.356218392710199,9.129417926171715,0.04059721528354877,0.04059721528354877,0.782043262869021,0.8551774333459454,0.5077861163227018,164,65,0.9221221232368605,0.9606102675940758,False,False
mfcc_02_median,119.79076469235304,120.93765880878155,120.24702072143555,118.59717559814453,16.995442266865457,15.082124509544938,0.06959939247711991,0.06959939247711991,0.6353427377028442,0.9233331755020873,0.5041275797373358,164,65,0.8269540395497338,1.0,False,False
mfcc_07_median,5.093452644693415,5.077901545854715,6.322726249694824,5.957514762878418,6.626332500267266,5.459595177137981,-0.002460917555585399,0.002460917555585399,0.9866186726310339,0.9497257792227538,0.5027204502814259,164,65,1.0,1.0,False,False
