fold,auc,balanced_accuracy,mcc,n_train,n_test,group
0,0.4778554778554778,0.47202797202797203,-0.05288858853479451,183,46,Temporal
1,0.49417249417249415,0.5034965034965035,0.0063213954124101395,183,46,Temporal
2,0.5827505827505828,0.534965034965035,0.06351714029575158,183,46,Temporal
3,0.5757575757575757,0.5337995337995338,0.061817390646177126,183,46,Temporal
4,0.6754807692307692,0.6814903846153846,0.32912056777134235,184,45,Temporal
5,0.4592074592074592,0.458041958041958,-0.07564093584889488,183,46,Temporal
6,0.6177156177156178,0.6573426573426573,0.2844627935584563,183,46,Temporal
7,0.5244755244755245,0.548951048951049,0.09032446046618911,183,46,Temporal
8,0.5990675990675991,0.4953379953379954,-0.008602329568208486,183,46,Temporal
9,0.6442307692307693,0.5805288461538461,0.14779667470507343,184,45,Temporal
10,0.703962703962704,0.6491841491841492,0.2689455496849596,183,46,Temporal
11,0.5967365967365967,0.5268065268065267,0.04828045495852676,183,46,Temporal
12,0.5874125874125875,0.6340326340326341,0.2414022747926338,183,46,Temporal
13,0.38927738927738936,0.3344988344988345,-0.3053826996714013,183,46,Temporal
14,0.670673076923077,0.5576923076923077,0.10482848367219183,184,45,Temporal
0,0.5244755244755245,0.43356643356643354,-0.1276202917548147,183,46,Energy
1,0.4102564102564103,0.365967365967366,-0.2414022747926338,183,46,Energy
2,0.5734265734265734,0.5582750582750583,0.10752911960260608,183,46,Energy
3,0.4988344988344989,0.5571095571095571,0.10324945840269895,183,46,Energy
4,0.5600961538461539,0.5877403846153846,0.16615644991635553,184,45,Energy
5,0.5850815850815851,0.5885780885780886,0.16091008874923732,183,46,Energy
6,0.5477855477855478,0.5419580419580419,0.07564093584889488,183,46,Energy
7,0.4941724941724942,0.548951048951049,0.09032446046618911,183,46,Energy
8,0.5804195804195804,0.5419580419580419,0.07564093584889488,183,46,Energy
9,0.6081730769230769,0.5649038461538461,0.12009611535381536,184,45,Energy
10,0.6083916083916083,0.5885780885780886,0.16091008874923732,183,46,Energy
11,0.5804195804195804,0.5186480186480187,0.03387580815773417,183,46,Energy
